Trip ID,Date and Time,Distance Driven (miles_driven),Load Type,Delivery Status,Fuel Efficiency (MPG),Diesel Fuel Used (gallons),Driver Name,Driver Experience (years),Hours Worked,Driver Profit ($),Delivery Cost ($),Fuel Cost ($),Profit Margin (%),Cost per Mile ($),Profit per Mile ($),Fuel Cost per Mile ($),Total Revenue ($),Load Time (hrs),Unload Time (hrs),Total Load/Unload Time (hrs),Customer Location,Order Quantity (gallons),Fuel Prices ($/gallon),Delivery Frequency (days)
TRIP-0255,2023-04-03 13:09:54.594594595,392,Ethanol,Late,6.44,127,Driver_5,20,8,678,671,1260.65,16.55,2.31,0.59,0.52,8635,1.87,1.15,3.74,CityC,6114,4.66,30
TRIP-0256,2023-04-03 21:54:35.675675676,273,Diesel,Incomplete,7.76,69,Driver_8,14,6,764,773,570.37,27.58,3.98,1.3,1.58,2225,1.48,2.61,2.33,CityB,4301,4.27,28
TRIP-0257,2023-04-04 06:39:16.756756757,274,Gasoline,On-Time,6.76,195,Driver_4,24,12,670,2806,692.29,6.27,1.32,1.99,1.62,5250,2.24,1.43,2.41,CityE,8780,4.81,24
TRIP-0258,2023-04-04 15:23:57.837837838,434,Ethanol,On-Time,5.1,270,Driver_10,6,6,583,1658,828.71,26.59,1.19,2.01,1.22,1895,1.36,1.65,3.88,CityE,7876,4.4,9
TRIP-0259,2023-04-05 00:08:38.918918919,452,Gasoline,Late,7.74,109,Driver_5,21,7,1915,2206,1283.26,13.52,2.79,1.7,1.92,2620,2.51,2.04,4.12,CityE,1399,3.74,27
TRIP-0260,2023-04-05 08:53:20.000000000,175,Diesel,Late,5.74,240,Driver_8,29,9,1125,2271,1028.62,27.49,2.78,2.54,0.77,6088,1.1,2.57,3.06,CityE,3977,3.36,28
TRIP-0261,2023-04-05 17:38:01.081081081,179,Ethanol,Late,6.73,183,Driver_4,4,9,616,921,980.34,28.52,4.58,0.66,0.6,6419,2.92,2.68,4.57,CityE,2244,4.85,10
TRIP-0262,2023-04-06 02:22:42.162162162,102,Diesel,Incomplete,5.5,209,Driver_2,8,10,507,1709,387.16,21.77,1.5,2.54,1.42,2385,1.14,2.17,4.81,CityB,6596,3.21,26
TRIP-0263,2023-04-06 11:07:23.243243243,221,Ethanol,Incomplete,5.1,142,Driver_3,17,7,848,1390,842.81,21.61,1.49,1.74,1.57,3433,2.16,1.81,3.2,CityD,2753,4.09,18
TRIP-0264,2023-04-06 19:52:04.324324325,267,Ethanol,Late,5.93,92,Driver_2,30,9,1917,3767,1115.76,16.32,1.59,0.83,0.6,2301,2.8,2.89,5.03,CityC,2133,3.63,4
TRIP-0265,2023-04-07 04:36:45.405405406,209,Ethanol,Incomplete,7.34,179,Driver_8,9,6,1590,1973,1463.9,25.89,1.12,2.71,0.34,7858,1.02,1.49,2.82,CityD,7501,3.54,8
TRIP-0266,2023-04-07 13:21:26.486486487,247,Gasoline,On-Time,5.83,109,Driver_3,1,7,1224,3743,421.9,29.04,1.29,2.12,1.66,9950,2.0,2.61,4.18,CityD,7520,4.29,18
TRIP-0267,2023-04-07 22:06:07.567567568,465,Diesel,Late,5.66,200,Driver_8,24,6,1267,4978,162.88,24.38,3.64,0.91,1.96,9938,1.7,2.22,5.22,CityE,9553,3.46,20
TRIP-0268,2023-04-08 06:50:48.648648649,296,Gasoline,Incomplete,5.64,260,Driver_2,20,9,938,2681,251.66,20.55,2.73,0.58,1.36,9784,2.16,1.75,4.15,CityE,8649,4.83,26
TRIP-0269,2023-04-08 15:35:29.729729730,373,Gasoline,Incomplete,6.55,80,Driver_6,25,9,1321,1949,657.4,20.17,4.05,0.85,0.7,6644,1.45,1.0,5.63,CityB,5201,3.81,29
TRIP-0270,2023-04-09 00:20:10.810810811,488,Diesel,Late,7.93,292,Driver_6,14,12,1943,3596,1257.74,26.24,4.97,2.02,1.99,6088,1.13,1.89,2.23,CityC,7235,4.35,29
TRIP-0271,2023-04-09 09:04:51.891891892,252,Diesel,Late,6.38,54,Driver_2,11,14,1488,3756,159.64,18.53,3.64,0.95,1.81,6440,2.25,1.55,4.35,CityA,1513,4.46,17
TRIP-0272,2023-04-09 17:49:32.972972973,233,Diesel,Incomplete,6.67,260,Driver_9,21,14,339,3656,766.59,25.1,1.2,1.06,1.12,8493,1.83,1.21,4.25,CityD,3799,4.37,16
TRIP-0273,2023-04-10 02:34:14.054054054,172,Ethanol,Incomplete,7.58,211,Driver_9,3,10,1704,2090,594.46,17.72,1.42,0.56,1.69,7291,2.24,1.15,4.64,CityA,2006,4.81,18
TRIP-0274,2023-04-10 11:18:55.135135135,450,Gasoline,Late,6.61,59,Driver_5,9,6,1460,4739,220.85,6.56,4.52,2.31,1.67,4307,1.42,1.7,5.33,CityC,5303,3.46,7
TRIP-0275,2023-04-10 20:03:36.216216216,304,Gasoline,Incomplete,5.55,138,Driver_5,27,6,1173,4481,757.82,14.6,3.11,2.53,1.88,9894,1.68,2.23,4.9,CityD,1477,3.17,1
TRIP-0276,2023-04-11 04:48:17.297297298,343,Gasoline,On-Time,5.9,179,Driver_3,14,11,1216,1935,493.91,16.11,4.3,2.49,1.71,5708,2.12,2.68,5.16,CityA,2317,3.11,28
TRIP-0277,2023-04-11 13:32:58.378378379,329,Gasoline,Incomplete,5.93,175,Driver_3,30,7,1152,723,625.04,8.54,4.43,0.82,1.36,1104,2.19,1.37,3.16,CityA,5401,4.76,1
TRIP-0278,2023-04-11 22:17:39.459459460,374,Gasoline,On-Time,6.19,60,Driver_6,9,13,1103,719,1102.58,7.56,4.71,2.76,1.3,4833,1.74,1.85,3.55,CityB,9640,4.95,18
TRIP-0279,2023-04-12 07:02:20.540540541,421,Ethanol,On-Time,6.28,227,Driver_9,4,14,271,4774,854.09,18.39,4.8,2.18,1.04,1395,1.56,1.78,4.51,CityC,7298,3.61,4
TRIP-0280,2023-04-12 15:47:01.621621622,147,Diesel,Incomplete,7.4,208,Driver_4,27,9,1890,2154,318.27,7.13,3.22,2.74,1.33,4517,1.55,2.03,4.21,CityC,973,4.39,23
TRIP-0281,2023-04-13 00:31:42.702702703,247,Ethanol,Incomplete,6.05,105,Driver_2,4,10,1413,764,1447.91,12.57,2.36,1.62,1.63,4291,1.35,2.62,5.84,CityC,1067,3.02,20
TRIP-0282,2023-04-13 09:16:23.783783784,444,Ethanol,Late,6.4,256,Driver_4,28,13,1491,1453,1008.48,23.61,4.85,1.59,1.94,3010,1.65,2.11,2.75,CityD,8466,3.38,21
TRIP-0283,2023-04-13 18:01:04.864864865,289,Ethanol,On-Time,6.87,250,Driver_3,8,8,1544,4233,1183.92,29.11,3.19,2.46,1.04,5537,1.4,2.69,3.41,CityB,2758,4.38,20
TRIP-0284,2023-04-14 02:45:45.945945946,193,Diesel,Incomplete,6.13,264,Driver_4,2,10,306,3274,256.94,22.95,1.26,0.73,1.23,5968,2.27,2.04,4.29,CityE,8620,3.13,4
TRIP-0285,2023-04-14 11:30:27.027027027,146,Diesel,On-Time,7.51,132,Driver_8,9,8,1455,3624,213.53,29.82,3.57,1.8,1.0,5762,2.14,2.21,5.47,CityD,4810,3.94,25
TRIP-0286,2023-04-14 20:15:08.108108108,250,Gasoline,Late,6.76,186,Driver_1,29,8,1265,979,176.25,22.46,3.35,2.59,1.4,2051,1.77,1.87,5.72,CityC,2482,4.33,6
TRIP-0287,2023-04-15 04:59:49.189189189,173,Ethanol,On-Time,5.88,148,Driver_6,14,8,1925,4014,404.87,12.34,4.58,2.58,1.33,3841,1.65,2.65,3.34,CityD,1596,4.53,28
TRIP-0288,2023-04-15 13:44:30.270270270,236,Gasoline,Incomplete,7.14,198,Driver_9,22,12,1082,1853,709.45,21.8,3.61,2.89,0.23,7618,1.48,2.85,2.27,CityA,7110,3.91,3
TRIP-0289,2023-04-15 22:29:11.351351352,375,Diesel,Incomplete,6.58,122,Driver_10,9,12,338,3822,1413.37,22.55,2.4,2.25,1.17,5723,2.07,2.28,3.69,CityD,4070,4.26,6
TRIP-0290,2023-04-16 07:13:52.432432432,398,Diesel,On-Time,6.6,205,Driver_6,24,12,814,4378,767.03,14.29,4.86,1.02,0.36,8472,2.84,2.64,3.58,CityD,6997,4.08,13
TRIP-0291,2023-04-16 15:58:33.513513514,308,Diesel,Late,6.44,239,Driver_8,23,13,1906,1389,541.84,5.44,4.21,0.55,0.25,8913,2.37,1.12,5.95,CityC,4146,3.1,23
TRIP-0292,2023-04-17 00:43:14.594594594,197,Diesel,On-Time,6.49,287,Driver_9,16,10,1062,4354,908.61,22.58,3.52,1.7,1.62,6524,2.49,2.81,3.72,CityA,2919,4.49,7
TRIP-0293,2023-04-17 09:27:55.675675676,301,Ethanol,Incomplete,7.3,164,Driver_3,29,10,472,1424,301.11,5.54,2.17,1.78,0.67,4584,2.67,1.38,3.22,CityC,4779,3.34,24
TRIP-0294,2023-04-17 18:12:36.756756758,492,Gasoline,Late,5.31,56,Driver_10,30,9,1704,2670,972.83,20.78,2.49,1.1,0.81,9539,1.7,1.51,3.46,CityA,1173,3.06,29
TRIP-0295,2023-04-18 02:57:17.837837838,469,Diesel,On-Time,6.0,129,Driver_2,17,12,615,2402,917.38,9.09,3.68,0.81,0.32,2263,1.13,1.11,3.59,CityA,3302,3.9,4
TRIP-0296,2023-04-18 11:41:58.918918920,452,Gasoline,On-Time,5.23,193,Driver_2,16,9,705,2895,1219.19,19.14,1.29,1.97,0.52,5665,2.25,2.93,5.29,CityA,7812,4.73,1
TRIP-0297,2023-04-18 20:26:40.000000000,395,Diesel,Late,7.26,146,Driver_5,30,7,932,528,1482.03,17.6,2.03,2.41,1.58,9014,1.38,2.7,2.32,CityC,2869,3.3,6
TRIP-0298,2023-04-19 05:11:21.081081082,500,Gasoline,On-Time,5.82,53,Driver_7,12,9,1948,534,488.68,5.34,3.86,2.98,1.09,2351,2.14,2.83,3.27,CityA,5030,3.03,24
TRIP-0299,2023-04-19 13:56:02.162162162,196,Gasoline,Late,7.69,53,Driver_8,3,13,623,4089,838.04,14.07,2.92,2.4,1.79,7980,2.48,2.69,5.87,CityB,1566,3.22,5
TRIP-0300,2023-04-19 22:40:43.243243244,197,Diesel,Late,6.58,152,Driver_9,11,14,1630,3170,1376.97,20.03,2.61,2.48,0.92,8190,2.57,1.96,2.61,CityB,5932,3.73,13
TRIP-0301,2023-04-20 07:25:24.324324324,401,Diesel,Late,7.4,89,Driver_7,14,8,1791,3865,1210.01,26.22,1.61,2.04,0.68,4827,1.6,2.85,4.97,CityE,8573,4.16,19
TRIP-0302,2023-04-20 16:10:05.405405406,248,Gasoline,Late,7.94,66,Driver_7,18,12,589,1088,808.0,27.22,2.77,2.96,0.83,9861,2.02,2.94,3.43,CityB,1187,3.39,4
TRIP-0303,2023-04-21 00:54:46.486486486,357,Ethanol,On-Time,7.52,150,Driver_10,21,14,541,3718,1426.25,17.1,4.08,2.1,1.48,3646,2.24,2.01,4.33,CityE,568,4.6,24
TRIP-0304,2023-04-21 09:39:27.567567568,466,Diesel,On-Time,7.6,152,Driver_2,21,9,1145,3638,227.27,23.21,2.06,2.65,1.2,1266,2.64,1.35,2.4,CityB,7274,4.51,6
TRIP-0305,2023-04-21 18:24:08.648648648,473,Diesel,Incomplete,6.22,173,Driver_3,5,8,813,1403,1406.85,12.91,1.02,2.86,1.83,8434,2.52,2.32,3.23,CityC,919,4.39,13
TRIP-0306,2023-04-22 03:08:49.729729730,177,Ethanol,Late,6.66,101,Driver_6,16,10,692,4586,218.18,13.55,3.67,2.82,1.28,2022,2.98,2.95,4.0,CityE,7391,3.97,29
TRIP-0307,2023-04-22 11:53:30.810810812,88,Ethanol,Incomplete,5.76,270,Driver_2,20,6,391,2669,888.86,9.86,4.89,1.45,1.09,8947,1.02,2.74,2.93,CityD,6093,3.73,5
TRIP-0308,2023-04-22 20:38:11.891891892,387,Diesel,Incomplete,5.59,101,Driver_8,5,8,698,839,1352.1,19.05,3.43,0.7,1.61,3037,1.87,2.72,4.17,CityD,6604,3.75,13
TRIP-0309,2023-04-23 05:22:52.972972974,409,Diesel,On-Time,6.52,213,Driver_8,3,13,1021,4770,504.67,12.86,1.48,0.93,1.91,9756,1.51,2.87,2.88,CityB,4392,4.01,25
TRIP-0310,2023-04-23 14:07:34.054054054,178,Diesel,On-Time,6.79,173,Driver_9,12,13,1935,2214,787.54,7.11,2.28,0.65,0.84,8778,1.24,2.79,4.6,CityD,939,3.15,10
TRIP-0311,2023-04-23 22:52:15.135135136,316,Diesel,On-Time,6.02,215,Driver_6,1,9,1456,1056,587.84,22.13,4.47,0.76,0.65,2059,2.82,2.55,5.62,CityB,9978,4.36,3
TRIP-0312,2023-04-24 07:36:56.216216216,490,Gasoline,On-Time,6.71,280,Driver_3,21,7,426,3587,1435.39,22.69,1.93,0.96,1.31,2424,3.0,2.44,2.34,CityB,1708,3.7,23
TRIP-0313,2023-04-24 16:21:37.297297298,483,Gasoline,Incomplete,7.66,227,Driver_9,29,13,1594,3766,1261.92,14.0,3.43,1.35,1.1,5123,1.36,1.53,2.87,CityD,9770,3.45,25
TRIP-0314,2023-04-25 01:06:18.378378378,200,Gasoline,Late,6.67,112,Driver_10,9,13,338,4067,1107.15,6.92,2.61,1.86,1.98,1219,1.08,2.24,5.38,CityD,3063,3.56,27
TRIP-0315,2023-04-25 09:50:59.459459460,464,Diesel,Incomplete,7.16,278,Driver_3,29,9,1055,2556,943.3,15.66,1.83,2.28,1.03,1405,1.55,2.04,4.53,CityA,7966,3.36,13
TRIP-0316,2023-04-25 18:35:40.540540540,347,Gasoline,Incomplete,7.42,165,Driver_3,9,8,1016,4399,1257.8,16.06,4.25,1.03,0.33,3318,2.67,2.72,2.31,CityE,1753,4.8,27
TRIP-0317,2023-04-26 03:20:21.621621622,148,Diesel,On-Time,7.97,240,Driver_7,4,7,1372,1516,679.56,21.72,3.97,2.18,1.96,9983,1.59,1.98,3.95,CityB,3709,3.34,12
TRIP-0318,2023-04-26 12:05:02.702702704,312,Diesel,Late,6.81,111,Driver_9,3,14,1338,2562,754.2,12.89,3.65,2.26,1.72,6058,1.11,1.26,2.84,CityD,4049,4.77,4
TRIP-0319,2023-04-26 20:49:43.783783784,301,Gasoline,Incomplete,7.42,276,Driver_1,17,6,1673,1338,1135.5,22.06,1.95,1.9,0.52,2309,1.1,1.01,2.8,CityE,1114,4.14,10
TRIP-0320,2023-04-27 05:34:24.864864866,193,Diesel,On-Time,7.89,56,Driver_2,2,12,1286,2137,632.97,26.79,1.39,2.76,1.83,8621,1.85,2.36,5.76,CityD,3578,4.73,26
TRIP-0321,2023-04-27 14:19:05.945945946,395,Gasoline,On-Time,7.83,204,Driver_9,24,10,303,4821,236.27,10.94,3.3,0.78,0.81,5929,2.86,2.1,5.05,CityD,3990,3.95,3
TRIP-0322,2023-04-27 23:03:47.027027028,161,Gasoline,Late,5.42,141,Driver_3,1,13,1070,3996,250.35,29.47,3.21,0.94,0.88,9702,1.57,1.66,4.78,CityA,4043,4.86,17
TRIP-0323,2023-04-28 07:48:28.108108108,109,Gasoline,Incomplete,6.22,263,Driver_5,8,9,867,2313,305.74,14.66,1.75,1.57,1.83,9683,1.85,1.34,2.96,CityB,8602,3.42,9
TRIP-0324,2023-04-28 16:33:09.189189190,418,Gasoline,Late,5.97,63,Driver_3,13,12,472,3979,1324.07,11.68,1.22,0.82,1.15,2617,1.2,1.93,2.47,CityB,2400,4.11,29
TRIP-0325,2023-04-29 01:17:50.270270270,51,Gasoline,Late,5.26,248,Driver_3,23,10,1229,1951,787.51,15.54,1.32,1.92,0.45,2520,1.99,1.2,5.48,CityC,6180,3.25,1
TRIP-0326,2023-04-29 10:02:31.351351352,434,Ethanol,Late,6.9,278,Driver_6,15,10,1370,2813,1112.39,7.36,4.97,1.5,0.86,8892,2.39,1.67,2.02,CityA,7251,3.89,18
TRIP-0327,2023-04-29 18:47:12.432432432,353,Ethanol,Incomplete,7.21,135,Driver_4,8,14,383,2014,680.43,8.14,4.13,1.21,1.5,2583,1.54,1.76,3.55,CityE,6362,4.14,9
TRIP-0328,2023-04-30 03:31:53.513513514,303,Ethanol,On-Time,7.54,182,Driver_6,12,14,1251,1731,499.26,15.36,4.69,0.92,0.51,7704,1.59,1.93,3.11,CityA,2212,4.21,21
TRIP-0329,2023-04-30 12:16:34.594594594,189,Ethanol,Late,5.37,232,Driver_9,22,14,1773,2145,618.71,24.06,1.78,1.34,1.26,8988,2.68,1.93,4.28,CityE,2829,3.73,20
TRIP-0330,2023-04-30 21:01:15.675675676,86,Ethanol,Late,7.63,179,Driver_5,12,11,1342,3499,1222.15,27.51,4.84,2.02,1.45,7583,1.02,1.51,3.0,CityB,1694,3.15,25
TRIP-0331,2023-05-01 05:45:56.756756758,209,Gasoline,Incomplete,6.93,111,Driver_2,14,11,492,3940,994.04,21.62,1.57,1.94,0.82,2575,2.27,2.7,3.24,CityC,7281,4.31,9
TRIP-0332,2023-05-01 14:30:37.837837838,58,Diesel,Incomplete,7.11,268,Driver_5,15,10,1594,4556,1415.81,7.63,3.04,0.91,1.45,7935,1.79,1.71,5.4,CityC,8662,3.98,2
TRIP-0333,2023-05-01 23:15:18.918918920,282,Diesel,On-Time,7.73,198,Driver_4,15,14,1467,805,1067.6,21.8,4.32,0.81,1.79,7176,1.6,1.46,4.41,CityB,5406,3.27,19
TRIP-0334,2023-05-02 08:00:00.000000000,148,Gasoline,On-Time,6.87,295,Driver_9,9,13,1803,4036,919.75,20.89,2.4,0.57,1.05,3613,2.32,1.35,2.58,CityD,1878,4.87,28
TRIP-0335,2023-05-02 16:44:41.081081082,196,Diesel,Late,6.01,279,Driver_5,19,12,1949,2223,973.76,25.14,2.7,0.53,0.89,4892,2.67,1.65,4.91,CityA,1249,4.91,16
TRIP-0336,2023-05-03 01:29:22.162162162,353,Diesel,Late,7.48,128,Driver_3,26,12,1441,2189,1422.2,25.63,1.51,2.7,0.65,9653,2.12,1.14,2.83,CityC,5792,4.71,3
TRIP-0337,2023-05-03 10:14:03.243243244,257,Ethanol,Incomplete,6.09,198,Driver_5,20,11,376,2017,1214.07,26.71,1.49,0.61,1.29,7733,1.06,1.07,3.73,CityD,800,4.69,16
TRIP-0338,2023-05-03 18:58:44.324324324,180,Ethanol,Late,5.1,187,Driver_10,29,10,1522,4417,182.46,15.35,3.48,2.33,1.78,5431,1.92,2.21,4.59,CityE,5195,3.2,21
TRIP-0339,2023-05-04 03:43:25.405405406,453,Ethanol,Incomplete,7.49,264,Driver_9,22,9,1899,919,871.09,22.45,3.7,2.68,0.78,9112,1.93,2.24,3.09,CityC,5124,4.99,13
TRIP-0340,2023-05-04 12:28:06.486486486,201,Diesel,Late,6.04,107,Driver_2,8,8,257,3436,1079.26,11.71,4.11,0.75,0.91,2381,2.09,2.06,3.54,CityE,4337,3.8,3
TRIP-0341,2023-05-04 21:12:47.567567568,103,Ethanol,Incomplete,7.32,169,Driver_9,21,8,1492,4362,1160.74,29.98,3.23,1.59,0.93,4515,2.34,2.52,4.94,CityD,777,3.33,10
TRIP-0342,2023-05-05 05:57:28.648648648,169,Gasoline,Late,6.09,216,Driver_3,19,11,507,4729,437.74,9.38,3.58,2.91,1.21,5454,1.04,1.08,5.75,CityE,4417,4.62,22
TRIP-0343,2023-05-05 14:42:09.729729730,210,Diesel,Late,7.58,182,Driver_10,6,9,1793,1950,1320.69,5.25,1.05,2.59,0.61,8769,2.0,2.87,4.12,CityD,7807,3.45,18
TRIP-0344,2023-05-05 23:26:50.810810812,457,Diesel,Late,5.66,114,Driver_10,20,11,1511,3596,1440.39,8.72,1.65,1.72,1.68,7489,2.18,1.19,2.04,CityE,2661,4.05,6
TRIP-0345,2023-05-06 08:11:31.891891892,165,Ethanol,On-Time,7.92,62,Driver_3,25,8,1176,3761,469.57,24.4,4.94,2.41,0.73,9384,1.69,2.35,3.35,CityA,1889,3.26,6
TRIP-0346,2023-05-06 16:56:12.972972974,124,Gasoline,Late,7.34,262,Driver_3,29,9,1328,1664,1341.53,16.17,1.3,2.58,1.47,4534,2.34,1.27,3.59,CityC,9382,3.95,18
TRIP-0347,2023-05-07 01:40:54.054054054,162,Ethanol,Late,5.34,267,Driver_10,19,14,1451,2369,280.92,16.19,3.72,1.37,1.12,1755,1.46,2.76,3.36,CityC,5232,4.12,6
TRIP-0348,2023-05-07 10:25:35.135135136,469,Ethanol,On-Time,6.7,291,Driver_10,4,10,1470,2319,225.2,28.88,1.7,2.73,1.25,3525,1.63,2.02,3.75,CityD,3968,3.89,6
TRIP-0349,2023-05-07 19:10:16.216216216,471,Diesel,On-Time,7.96,286,Driver_6,23,12,899,3205,324.45,27.99,3.87,1.68,0.52,1827,2.93,1.16,4.53,CityE,6641,3.14,22
TRIP-0350,2023-05-08 03:54:57.297297298,153,Diesel,Late,6.41,262,Driver_10,7,7,1717,4015,227.95,12.78,3.82,1.82,1.52,5748,1.7,2.23,2.48,CityB,6469,3.97,28
TRIP-0351,2023-05-08 12:39:38.378378378,389,Ethanol,Incomplete,5.55,230,Driver_1,28,10,282,1842,1290.77,10.23,1.94,3.0,0.54,3333,1.69,1.02,3.09,CityC,4316,3.94,13
TRIP-0352,2023-05-08 21:24:19.459459460,303,Diesel,Late,6.45,131,Driver_1,28,14,1409,2726,229.72,26.21,2.08,2.61,0.4,5946,2.19,2.55,4.03,CityE,9631,3.52,14
TRIP-0353,2023-05-09 06:09:00.540540540,276,Diesel,Incomplete,6.54,278,Driver_2,4,8,451,1579,516.75,27.65,3.62,1.4,1.18,9302,2.94,2.3,3.26,CityE,5537,4.84,21
TRIP-0354,2023-05-09 14:53:41.621621622,161,Diesel,Late,7.23,222,Driver_1,22,14,1578,4706,290.07,18.54,2.56,0.53,1.48,9046,2.97,1.43,5.96,CityA,6494,3.84,7
TRIP-0355,2023-05-09 23:38:22.702702704,148,Ethanol,Incomplete,7.1,209,Driver_10,12,11,1973,3279,548.82,20.74,1.78,2.07,0.29,9984,2.16,1.75,3.73,CityB,2951,4.73,13
TRIP-0356,2023-05-10 08:23:03.783783784,202,Diesel,Late,6.21,213,Driver_5,13,9,1919,3028,272.26,11.42,3.93,2.26,0.32,8181,1.0,1.02,5.48,CityC,524,3.22,15
TRIP-0357,2023-05-10 17:07:44.864864866,398,Ethanol,On-Time,5.65,258,Driver_4,3,12,995,1313,1051.8,25.02,1.62,2.13,1.64,4414,2.8,2.39,5.59,CityA,6462,3.64,12
TRIP-0358,2023-05-11 01:52:25.945945946,451,Diesel,Incomplete,6.94,276,Driver_10,22,13,1096,2531,329.99,20.8,4.42,2.92,1.66,7457,2.14,1.65,5.34,CityB,3056,3.35,21
TRIP-0359,2023-05-11 10:37:07.027027028,433,Gasoline,Late,6.27,290,Driver_7,12,11,409,822,1299.99,17.59,3.06,2.66,0.64,7749,1.73,2.14,2.19,CityC,8132,3.82,27
TRIP-0360,2023-05-11 19:21:48.108108108,415,Diesel,Late,5.4,237,Driver_10,2,10,1015,3469,1253.21,6.5,1.42,1.62,1.31,1296,2.66,2.91,5.79,CityA,560,3.22,1
TRIP-0361,2023-05-12 04:06:29.189189190,387,Ethanol,On-Time,7.7,188,Driver_1,24,11,808,1403,168.44,27.9,3.78,0.66,1.0,1568,1.8,1.6,2.51,CityB,8175,3.88,28
TRIP-0362,2023-05-12 12:51:10.270270270,243,Diesel,Incomplete,7.07,240,Driver_8,2,10,646,2041,1359.23,20.39,3.08,1.69,1.34,6283,1.07,2.98,2.14,CityC,622,3.71,25
TRIP-0363,2023-05-12 21:35:51.351351352,359,Ethanol,Incomplete,7.05,198,Driver_9,27,13,659,4003,189.07,9.82,2.19,2.22,1.75,8664,2.64,2.27,3.66,CityB,6116,3.45,3
TRIP-0364,2023-05-13 06:20:32.432432432,212,Ethanol,Incomplete,7.47,101,Driver_5,23,6,1167,3153,473.52,20.16,2.69,2.02,0.34,8511,2.09,1.48,2.78,CityE,1686,4.28,18
TRIP-0365,2023-05-13 15:05:13.513513514,257,Diesel,On-Time,6.59,232,Driver_5,9,12,671,2976,193.73,21.94,2.19,1.85,1.6,6465,1.68,1.87,2.74,CityD,5658,4.9,26
TRIP-0366,2023-05-13 23:49:54.594594594,494,Ethanol,Incomplete,7.45,166,Driver_8,1,7,1943,3840,603.39,18.14,2.05,1.67,1.09,9263,1.5,2.48,3.15,CityD,8364,3.41,22
TRIP-0367,2023-05-14 08:34:35.675675676,218,Diesel,Incomplete,6.49,75,Driver_4,8,14,569,4743,843.72,22.95,1.65,1.23,1.22,5382,2.19,1.89,2.99,CityE,4589,4.42,8
TRIP-0368,2023-05-14 17:19:16.756756758,210,Gasoline,Late,5.2,245,Driver_7,23,6,1099,1641,1225.47,19.54,2.45,1.19,1.38,1065,1.42,1.14,4.74,CityB,2972,4.48,2
TRIP-0369,2023-05-15 02:03:57.837837838,117,Ethanol,Late,6.22,83,Driver_5,6,11,1715,1349,606.28,28.69,2.0,1.75,1.86,1879,1.65,1.34,2.75,CityE,7950,4.0,4
TRIP-0370,2023-05-15 10:48:38.918918920,338,Ethanol,On-Time,6.49,101,Driver_8,6,14,1122,866,1102.41,6.34,3.73,0.9,0.3,9259,2.27,2.58,4.17,CityD,3464,4.8,18
TRIP-0371,2023-05-15 19:33:20.000000000,447,Ethanol,Incomplete,7.16,161,Driver_2,22,6,336,3397,403.13,7.66,3.74,1.35,0.25,8222,2.76,2.3,5.95,CityD,8604,4.93,28
TRIP-0372,2023-05-16 04:18:01.081081082,326,Ethanol,Late,5.32,131,Driver_1,25,9,566,1589,1163.31,9.34,3.01,1.31,0.52,6069,2.07,2.14,3.73,CityB,1810,3.72,28
TRIP-0373,2023-05-16 13:02:42.162162162,353,Gasoline,On-Time,5.42,281,Driver_3,18,9,1111,4541,468.6,22.25,4.11,1.97,1.98,4239,2.52,1.34,4.57,CityD,8846,4.3,25
TRIP-0374,2023-05-16 21:47:23.243243244,453,Gasoline,Incomplete,5.79,276,Driver_8,17,14,383,2538,343.79,21.14,4.37,0.67,1.49,1507,2.53,2.68,5.88,CityE,2712,4.32,26
TRIP-0375,2023-05-17 06:32:04.324324324,433,Diesel,On-Time,5.8,282,Driver_7,29,10,1811,3360,400.3,27.3,3.32,2.57,1.31,8704,2.33,2.92,2.55,CityB,9954,3.81,13
TRIP-0376,2023-05-17 15:16:45.405405406,441,Ethanol,Incomplete,7.2,270,Driver_8,12,10,1510,4770,395.79,23.32,3.48,1.91,0.28,2125,1.49,1.08,3.67,CityE,7292,3.63,15
TRIP-0377,2023-05-18 00:01:26.486486486,184,Ethanol,Late,5.75,229,Driver_8,6,11,671,2354,842.36,17.71,2.13,2.18,1.78,1885,2.73,1.16,5.4,CityB,9629,4.87,2
TRIP-0378,2023-05-18 08:46:07.567567568,244,Gasoline,Incomplete,6.9,206,Driver_4,26,6,1598,994,1290.48,29.8,4.58,2.26,1.66,3841,1.87,2.77,5.73,CityD,9203,4.58,10
TRIP-0379,2023-05-18 17:30:48.648648650,450,Diesel,Incomplete,6.48,215,Driver_6,27,6,853,3682,257.47,11.65,1.1,1.23,1.4,8975,1.09,2.63,4.4,CityC,8878,3.23,2
TRIP-0380,2023-05-19 02:15:29.729729730,177,Gasoline,Incomplete,6.72,91,Driver_10,8,14,948,2284,1104.39,25.83,2.39,1.68,0.81,7565,1.49,2.24,2.57,CityB,2345,3.24,30
TRIP-0381,2023-05-19 11:00:10.810810812,82,Gasoline,Incomplete,7.51,70,Driver_3,19,8,736,4010,1033.37,15.67,3.89,2.89,0.33,7083,2.53,2.89,5.61,CityB,8160,4.85,29
TRIP-0382,2023-05-19 19:44:51.891891892,225,Diesel,On-Time,6.21,91,Driver_6,28,9,1734,4286,1327.9,21.22,1.32,2.42,1.24,5870,1.14,2.29,2.7,CityC,2202,3.16,21
